 onset,duration,sample,trial_type,response_time,stim_file,serialpos,probepos,probe_word,resp_word,study_1,study_2,list,test,answer,experiment,session,subject
0.0,65.575,7168,SESS_START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-999,"[0, 0, 0]",-999,PAL1,1,R1001P
65.575,1.017,39954,START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,1,R1001P
66.592,6.919,40463,PROB,6.885,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[8, 4, 8]",12,PAL1,1,R1001P
73.511,5.116,43922,PROB,5.093,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[5, 4, 2]",12,PAL1,1,R1001P
78.627,3.602,46480,PROB,3.57,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[1, 2, 5]",8,PAL1,1,R1001P
82.229,7.8,48281,PROB,7.8,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[5, 6, 2]",13,PAL1,1,R1001P
90.029,43.72,52180,STOP,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,1,R1001P
133.749,10.442,74039,ENCODING_START,n/a,n/a,0,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,1,R1001P
144.191,0.275,79260,STUDY_ORIENT,n/a,n/a,1,3,JET,COTTON,JET,NAIL,1,"[0, 0, 0]",-999,PAL1,1,R1001P
145.191,4.0,79760,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,1,3,JET,COTTON,JET,NAIL,1,"[0, 0, 0]",-999,PAL1,1,R1001P
150.209,0.275,82269,STUDY_ORIENT,n/a,n/a,2,6,OAK,n/a,OAK,TRUCK,1,"[0, 0, 0]",-999,PAL1,1,R1001P
151.225,4.0,82777,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,2,6,OAK,n/a,OAK,TRUCK,1,"[0, 0, 0]",-999,PAL1,1,R1001P
156.227,0.275,85278,STUDY_ORIENT,n/a,n/a,3,5,LAND,n/a,LAND,PALM,1,"[0, 0, 0]",-999,PAL1,1,R1001P
157.094,4.0,85711,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,3,5,LAND,n/a,LAND,PALM,1,"[0, 0, 0]",-999,PAL1,1,R1001P
162.128,0.275,88228,STUDY_ORIENT,n/a,n/a,4,4,PIPE,n/a,ROOT,PIPE,1,"[0, 0, 0]",-999,PAL1,1,R1001P
162.911,4.0,88620,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,4,4,PIPE,n/a,ROOT,PIPE,1,"[0, 0, 0]",-999,PAL1,1,R1001P
167.929,0.275,91128,STUDY_ORIENT,n/a,n/a,5,1,SAIL,SHIP,SAIL,YARD,1,"[0, 0, 0]",-999,PAL1,1,R1001P
168.912,4.0,91620,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,5,1,SAIL,SHIP,SAIL,YARD,1,"[0, 0, 0]",-999,PAL1,1,R1001P
173.93,0.275,94129,STUDY_ORIENT,n/a,n/a,6,2,SHIELD,STONE,SHIELD,STONE,1,"[0, 0, 0]",-999,PAL1,1,R1001P
