 onset,duration,sample,trial_type,response_time,stim_file,serialpos,probepos,probe_word,resp_word,study_1,study_2,list,test,answer,experiment,session,subject
0.0,59.458,141778,SESS_START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-999,"[0, 0, 0]",-999,PAL1,0,R1002P
59.458,1.017,171505,START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,0,R1002P
60.475,5.651,172013,PROB,5.624,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[9, 5, 4]",18,PAL1,0,R1002P
66.126,3.868,174839,PROB,3.837,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[2, 2, 9]",13,PAL1,0,R1002P
69.994,3.5,176773,PROB,3.481,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[2, 5, 6]",13,PAL1,0,R1002P
73.494,2.534,178523,PROB,2.501,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[7, 1, 9]",17,PAL1,0,R1002P
76.028,3.001,179790,PROB,2.975,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[1, 7, 3]",11,PAL1,0,R1002P
79.029,3.797,181290,PROB,3.797,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[3, 2, 9]",14,PAL1,0,R1002P
82.826,70.369,183188,STOP,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,0,R1002P
153.195,10.45,218371,ENCODING_START,n/a,n/a,0,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1002P
163.645,0.275,223596,STUDY_ORIENT,n/a,n/a,1,3,TOOTH,n/a,TOOTH,VAN,1,"[0, 0, 0]",-999,PAL1,0,R1002P
164.661,4.0,224104,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,1,3,TOOTH,n/a,TOOTH,VAN,1,"[0, 0, 0]",-999,PAL1,0,R1002P
169.695,0.275,226621,STUDY_ORIENT,n/a,n/a,2,6,BOOT,TRUCK,TRUCK,BOOT,1,"[0, 0, 0]",-999,PAL1,0,R1002P
170.58,4.0,227063,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,2,6,BOOT,TRUCK,TRUCK,BOOT,1,"[0, 0, 0]",-999,PAL1,0,R1002P
175.614,0.275,229580,STUDY_ORIENT,n/a,n/a,3,5,MUG,PLUG,SPARK,MUG,1,"[0, 0, 0]",-999,PAL1,0,R1002P
176.631,4.0,230088,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,3,5,MUG,PLUG,SPARK,MUG,1,"[0, 0, 0]",-999,PAL1,0,R1002P
181.664,0.275,232605,STUDY_ORIENT,n/a,n/a,4,2,JAIL,ZOO,ZOO,JAIL,1,"[0, 0, 0]",-999,PAL1,0,R1002P
